x,y
8.82432,-8.21426
8.64725,-8.3071
8.4678,-8.39525
8.28675,-8.48012
8.10513,-8.56374
7.92349,-8.64735
7.74252,-8.73236
7.56319,-8.82078
7.38618,-8.91373
7.21165,-9.01127
7.03963,-9.11318
6.87259,-9.2229
6.7109,-9.34048
6.55362,-9.46388
6.40162,-9.59372
6.25482,-9.72944
6.11196,-9.86931
5.97201,-10.0121
5.8354,-10.1581
5.70125,-10.3064
5.5673,-10.4548
5.43224,-10.6023
5.29525,-10.7479
5.1551,-10.8905
5.0112,-11.0293
4.86453,-11.1652
4.71641,-11.2995
4.56873,-11.4343
4.42305,-11.5713
4.2798,-11.7107
4.14435,-11.8095
4.04848,-11.634
3.95261,-11.4586
3.85675,-11.2831
3.76088,-11.1076
3.66501,-10.9321
3.58169,-10.7504
3.49849,-10.5686
3.4153,-10.3867
3.33211,-10.2049
3.24891,-10.0231
3.08549,-10.0038
2.88713,-10.0242
2.6878,-10.0398
2.48905,-10.0615
2.29102,-10.089
2.09362,-10.1208
1.89636,-10.1535
1.69821,-10.1801
1.49908,-10.1978
1.29945,-10.2088
1.09961,-10.2153
0.899687,-10.2184
0.699738,-10.2185
0.499795,-10.2168
0.299856,-10.2144
0.0999095,-10.2129
-0.100041,-10.2131
-0.299981,-10.2152
-0.499914,-10.218
-0.699856,-10.22
-0.899807,-10.2202
-1.09974,-10.2176
-1.2996,-10.2118
-1.49927,-10.2014
-1.69838,-10.1834
-1.89631,-10.1555
-2.09363,-10.1231
-2.29106,-10.0915
-2.48914,-10.0643
-2.68792,-10.0428
-2.8872,-10.0265
-3.08622,-10.0074
-3.27768,-9.95331
-3.44805,-9.85108
-3.61598,-9.74257
-3.78795,-9.64061
-3.96341,-9.54477
-4.14157,-9.45403
-4.3213,-9.36641
-4.50048,-9.27767
-4.67646,-9.1828
-4.84828,-9.08059
-5.01644,-8.97244
-5.18171,-8.85992
-5.345,-8.74452
-5.5071,-8.62745
-5.66856,-8.50951
-5.82987,-8.39135
-5.99148,-8.27361
-6.15363,-8.15662
-6.3159,-8.03978
-6.47784,-7.92249
-6.63925,-7.80449
-6.79975,-7.68523
-6.95847,-7.56362
-7.11446,-7.43856
-7.26639,-7.30859
-7.41229,-7.17192
-7.55249,-7.02939
-7.69071,-6.8849
-7.83147,-6.74291
-7.97634,-6.60511
-8.12575,-6.47225
-8.2797,-6.3447
-8.42725,-6.20987
-8.54599,-6.04999
-8.62565,-5.86748
-8.70145,-5.68246
-8.78316,-5.49999
-8.87049,-5.32013
-8.96223,-5.14247
-9.05596,-4.96585
-9.1455,-4.78709
-9.22659,-4.60436
-9.29971,-4.41828
-9.36728,-4.2301
-9.43173,-4.04083
-9.49443,-3.85096
-9.55572,-3.66063
-9.61588,-3.46994
-9.67577,-3.27917
-9.73653,-3.08868
-9.79885,-2.89868
-9.86211,-2.709
-9.92557,-2.51939
-9.9886,-2.32963
-10.0496,-2.13922
-10.107,-1.94769
-10.1593,-1.75471
-10.2046,-1.55997
-10.2405,-1.3633
-10.2725,-1.16593
-10.3042,-0.968502
-10.3392,-0.771648
-10.3793,-0.575763
-10.4247,-0.381053
-10.4659,-0.185402
-10.4786,0.0137298
-10.4331,0.20696
-10.3816,0.400152
-10.3371,0.595066
-10.3001,0.791542
-10.2697,0.989158
-10.2435,1.18738
-10.2161,1.38545
-10.1825,1.58253
-10.14,1.77789
-10.0904,1.97158
-10.0355,2.16383
-9.97669,2.35495
-9.91557,2.54532
-9.85344,2.73538
-9.79123,2.92541
-9.7294,3.11556
-9.66806,3.30587
-9.60714,3.49632
-9.54595,3.68668
-9.4837,3.8767
-9.41965,4.06611
-9.35295,4.25461
-9.28245,4.44171
-9.2065,4.62667
-9.12239,4.80804
-9.02987,4.98526
-8.93507,5.16131
-8.84307,5.33883
-8.75544,5.51856
-8.67355,5.70095
-8.59805,5.88609
-8.52197,6.071
-8.42122,6.24333
-8.27273,6.37503
-8.11913,6.50304
-7.9694,6.63555
-7.82372,6.77249
-7.68156,6.91309
-7.54034,7.05464
-7.39693,7.19397
-7.24857,7.328
-7.09487,7.45586
-6.93731,7.57896
-6.77725,7.69879
-6.61556,7.81642
-6.45293,7.93275
-6.29001,8.04867
-6.12745,8.16509
-5.9656,8.28251
-5.80419,8.40052
-5.64303,8.51889
-5.48229,8.63781
-5.32122,8.75629
-5.15895,8.87311
-4.99485,8.98736
-4.82823,9.0979
-4.65801,9.20277
-4.4827,9.29888
-4.30458,9.38969
-4.12676,9.48113
-3.95059,9.57572
-3.77668,9.67437
-3.60532,9.77739
-3.43361,9.87984
-3.25397,9.96741
-3.05658,9.98392
-2.85687,9.99373
-2.65764,10.0105
-2.45928,10.0355
-2.26192,10.0675
-2.06522,10.1034
-1.86841,10.1387
-1.67071,10.1686
-1.47188,10.1895
-1.27241,10.2033
-1.07265,10.2119
-0.872755,10.2165
-0.67281,10.2179
-0.472858,10.2175
-0.272909,10.2162
-0.0729601,10.2151
0.126992,10.215
0.32694,10.2163
0.526885,10.2181
0.726837,10.2182
0.926774,10.2159
1.12666,10.2106
1.32642,10.2021
1.52589,10.1882
1.72446,10.165
1.92152,10.1313
2.11818,10.0951
2.31522,10.0611
2.51303,10.032
2.71168,10.0093
2.91097,9.99313
3.11046,9.9797
3.30681,9.94283
3.48152,9.84782
3.65114,9.74196
3.82329,9.64026
3.99832,9.5436
4.17564,9.45119
4.35399,9.36081
4.53158,9.26892
4.706,9.17117
4.8762,9.06625
5.04287,8.95581
5.20672,8.84122
5.36866,8.72393
5.52966,8.60536
5.69057,8.48666
5.85186,8.36847
6.0136,8.25091
6.17568,8.13382
6.33802,8.01709
6.5005,7.90054
6.66277,7.78372
6.82436,7.66595
6.98422,7.54585
7.14149,7.42237
7.29464,7.29383
7.44053,7.15713
7.58161,7.01545
7.72266,6.87373
7.86592,6.73424
8.01269,6.59845
8.16308,6.46669
8.31491,6.33658
8.45912,6.19812
8.54528,6.01895
8.61662,5.83218
8.6934,5.64757
8.77683,5.46586
8.86583,5.28681
8.95887,5.10983
9.05339,4.93363
9.14456,4.75567
9.22694,4.5735
9.30135,4.38791
9.37068,4.20037
9.43696,4.01173
9.50093,3.82229
9.56278,3.63214
9.62334,3.44158
9.68417,3.2511
9.74621,3.06102
9.80895,2.87116
9.8716,2.68128
9.93352,2.49116
9.99392,2.30054
10.0518,2.10915
10.106,1.91668
10.155,1.72284
10.1961,1.52717
10.2273,1.32967
10.2547,1.13161
10.2839,0.933797
10.3178,0.73675
10.358,0.540885
10.4049,0.346507
10.4564,0.153319
10.4807,-0.0450371
10.452,-0.242562
10.4034,-0.436486
10.3596,-0.63158
10.322,-0.827948
10.2895,-1.02525
10.2595,-1.22293
10.2282,-1.42042
10.1902,-1.61672
10.1432,-1.81106
10.0898,-2.00376
10.0319,-2.19513
9.97066,-2.38548
9.90753,-2.57521
9.84378,-2.76473
9.78043,-2.95438
9.71799,-3.14433
9.65648,-3.33459
9.59558,-3.52504
9.53505,-3.71561
9.47407,-3.90604
9.41161,-4.09599
9.3466,-4.28507
9.2779,-4.47285
9.20378,-4.65856
9.12105,-4.84059
9.03059,-5.0189
8.93984,-5.19707
8.85134,-5.37638
8.76684,-5.55759
8.68698,-5.7409
8.61061,-5.9257
8.5219,-6.10488
8.38722,-6.25245
8.23023,-6.37628
8.07732,-6.50512
7.92921,-6.63945
7.78572,-6.7787
7.64618,-6.92192
7.50843,-7.06685
7.36838,-7.20956
7.22163,-7.34538
7.06882,-7.47434
6.9123,-7.59876
6.75347,-7.72023
6.59294,-7.83943
6.43087,-7.95655
6.26827,-8.07292
6.10638,-8.19027
5.94505,-8.3084
5.78378,-8.4266
5.62234,-8.54459
5.46061,-8.66216
5.29816,-8.77874
5.13421,-8.89321
4.97016,-8.99789
4.87449,-8.82231
4.77882,-8.64673
4.68314,-8.47116
4.58747,-8.29558
4.48154,-8.1263
4.3683,-7.9615
4.25506,-7.79671
4.14181,-7.63191
4.02857,-7.46712
3.8715,-7.48025
3.69275,-7.56986
3.51195,-7.65524
3.3281,-7.73383
3.14282,-7.80899
2.95782,-7.88487
2.77458,-7.96488
2.59129,-8.0448
2.39621,-8.08727
2.20046,-8.12804
2.00558,-8.17278
1.81119,-8.2196
1.61575,-8.26184
1.419,-8.29748
1.22146,-8.32841
1.02325,-8.3547
0.824471,-8.37635
0.625245,-8.39334
0.425674,-8.40567
0.225868,-8.41326
0.0259363,-8.41608
-0.174004,-8.41397
-0.373837,-8.40709
-0.573449,-8.39544
-0.772733,-8.37911
-0.971582,-8.35814
-1.16989,-8.33252
-1.36754,-8.30227
-1.56442,-8.26739
-1.76021,-8.22678
-1.95481,-8.18081
-2.14941,-8.13487
-2.34498,-8.09325
-2.5409,-8.05368
-2.72511,-7.97593
-2.90815,-7.89545
-3.09293,-7.81903
-3.2784,-7.74432
-3.46292,-7.66731
-3.64414,-7.58282
-3.82318,-7.49379
-4.00009,-7.40062
-4.17478,-7.30333
-4.34713,-7.20197
-4.51707,-7.0966
-4.68448,-6.98728
-4.84926,-6.87402
-5.01123,-6.75678
-5.17028,-6.63561
-5.32642,-6.51072
-5.4796,-6.38219
-5.62971,-6.25011
-5.77669,-6.11455
