x,y
9.44572,3.99264
9.50914,3.803
9.57055,3.61269
9.63079,3.42201
9.69135,3.23142
9.75303,3.0412
9.81532,2.85118
9.87751,2.66112
9.93895,2.47083
9.99873,2.28
10.0558,2.08835
10.109,1.89561
10.1569,1.70146
10.1966,1.50552
10.227,1.30788
10.2546,1.10982
10.284,0.912026
10.3186,0.715089
10.3596,0.519392
10.4078,0.325318
10.458,0.131891
10.4801,-0.0648361
10.4426,-0.261198
10.3959,-0.455623
10.3532,-0.65097
10.3161,-0.847468
10.2838,-1.0448
10.2541,-1.24256
10.2225,-1.44
10.1834,-1.63606
10.1354,-1.83019
10.0815,-2.02275
10.0232,-2.21402
9.96172,-2.4043
9.89833,-2.59396
9.83441,-2.78344
9.77116,-2.97314
9.70914,-3.16325
9.64792,-3.35363
9.58708,-3.54412
9.52627,-3.73462
9.46484,-3.92492
9.40185,-4.11471
9.33623,-4.3036
9.26664,-4.49106
9.19114,-4.6762
9.10793,-4.85801
9.01878,-5.03701
8.92847,-5.21542
8.84044,-5.39496
8.75662,-5.57651
8.67789,-5.76031
8.60165,-5.94514
8.50719,-6.11955
8.36846,-6.26299
8.21375,-6.38968
8.06194,-6.5198
7.91489,-6.6553
7.77209,-6.79527
7.63293,-6.93886
7.49551,-7.08413
7.35463,-7.22598
7.20654,-7.36031
7.05313,-7.48856
6.89631,-7.61262
6.73721,-7.73376
6.57639,-7.85261
6.41404,-7.96936
6.251,-8.08514
6.08923,-8.2027
5.92801,-8.321
5.76673,-8.43923
5.60523,-8.55716
5.44329,-8.67447
5.28042,-8.7905
5.1161,-8.90445
4.96808,-8.94424
4.87277,-8.76844
4.77746,-8.59265
4.68215,-8.41685
4.58683,-8.24105
4.47281,-8.07697
4.35636,-7.9144
4.23992,-7.75183
4.12347,-7.58926
4.00687,-7.42736
3.82966,-7.52002
3.65033,-7.60849
3.4688,-7.69238
3.28403,-7.76884
3.09842,-7.84327
2.91356,-7.91953
2.73057,-8.00016
2.54593,-8.07664
2.34937,-8.11342
2.15369,-8.15465
1.95892,-8.19994
1.76429,-8.24585
1.56836,-8.28585
1.37136,-8.32016
1.17361,-8.34985
0.975214,-8.3749
0.776288,-8.3953
0.576941,-8.41105
0.377279,-8.42212
0.177411,-8.42843
-0.0225532,-8.42976
-0.222493,-8.42641
-0.422296,-8.41828
-0.621847,-8.40538
-0.821042,-8.38782
-1.01977,-8.36561
-1.21793,-8.33876
-1.4154,-8.30727
-1.61204,-8.27098
-1.8074,-8.22829
-2.00188,-8.18177
-2.19663,-8.13637
-2.39234,-8.09531
-2.58678,-8.05073
-2.7696,-7.96971
-2.95265,-7.88922
-3.1374,-7.8127
-3.32259,-7.73725
-3.50637,-7.65847
-3.68696,-7.5726
-3.86547,-7.48249
-4.04183,-7.38824
-4.21593,-7.28987
-4.38767,-7.18745
-4.55697,-7.08105
-4.72373,-6.97069
-4.8878,-6.85637
-5.04895,-6.73799
-5.20726,-6.61583
-5.36266,-6.48998
-5.51505,-6.36052
-5.66437,-6.22752
-5.81054,-6.09106
-5.95347,-5.95121
-6.093,-5.80798
